DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
5.000000,579.000000,PUERTO BERRÍO,2011.000000,5.000000,6.490066539,-74.40463631,5579.000000,5579.000000,7504.000000,3086.000000,243.000000,10833.000000
5.000000,607.000000,RETIRO,2011.000000,5.000000,6.063242582,-75.50201058,5607.000000,5607.000000,384.000000,1787.000000,269.000000,2440.000000
5.000000,591.000000,PUERTO TRIUNFO,2011.000000,5.000000,5.884583117,-74.63878227,5591.000000,5591.000000,1847.000000,5213.000000,59.000000,7119.000000
5.000000,604.000000,REMEDIOS,2011.000000,5.000000,7.028793587,-74.6904628,5604.000000,5604.000000,8203.000000,1428.000000,2081.000000,11712.000000
5.000000,642.000000,SALGAR,2011.000000,5.000000,5.961162418,-75.97543596,5642.000000,5642.000000,6524.000000,847.000000,1627.000000,8998.000000
5.000000,647.000000,SAN ANDRÉS DE CUERQUÍA,2011.000000,5.000000,6.917505715,-75.67546803,5647.000000,5647.000000,2547.000000,697.000000,579.000000,3823.000000
5.000000,649.000000,SAN CARLOS,2011.000000,5.000000,6.187976407,-74.9930024,5649.000000,5649.000000,27583.000000,1432.000000,10179.000000,39194.000000
5.000000,652.000000,SAN FRANCISCO,2011.000000,5.000000,5.964172393,-75.10185297,5652.000000,5652.000000,13150.000000,1588.000000,6043.000000,20781.000000
5.000000,656.000000,SAN JERÓNIMO,2011.000000,5.000000,6.443063792,-75.72781783,5656.000000,5656.000000,753.000000,638.000000,48.000000,1439.000000
5.000000,659.000000,SAN JUAN DE URABÁ,2011.000000,5.000000,8.759490606,-76.52888979,5659.000000,5659.000000,10301.000000,9844.000000,2865.000000,23010.000000
5.000000,660.000000,SAN LUIS,2011.000000,5.000000,6.042865254,-74.99439223,5660.000000,5660.000000,17676.000000,3699.000000,14426.000000,35801.000000
5.000000,664.000000,SAN PEDRO DE LOS MILAGROS,2011.000000,5.000000,6.461318284,-75.56063112,5664.000000,5664.000000,6644.000000,2741.000000,644.000000,10029.000000
5.000000,667.000000,SAN RAFAEL,2011.000000,5.000000,6.293949736,-75.02824952,5667.000000,5667.000000,16871.000000,1845.000000,10898.000000,29614.000000
5.000000,670.000000,SAN ROQUE,2011.000000,5.000000,6.485655615,-75.01948573,5670.000000,5670.000000,4388.000000,1032.000000,3881.000000,9301.000000
5.000000,628.000000,SABANALARGA,2011.000000,5.000000,6.853533164,-75.81416599,5628.000000,5628.000000,3478.000000,1538.000000,2155.000000,7171.000000
