type,properties/OD_Pair,properties/OrgLat,properties/OrgLon,properties/DestLat,properties/DestLon,properties/Count,properties/Origin,properties/Dest,properties/OrgMun,properties/DestMun,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1
Feature,27001-11001,5.692349,-76.651125,4.650528,-74.105972,6009,27001,11001,SAN FRANCISCO DE QUIBDO,"BOGOTÁ, D.C.",LineString,-76.6511246326,5.69234946496,-74.105971599,4.65052840264
Feature,19110-19698,3.016024,-76.642546,3.011288,-76.485346,5984,19110,19698,BUENOS AIRES,SANTANDER DE QUILICHAO,LineString,-76.6425464035,3.01602440522,-76.4853458903999,3.01128796778
Feature,5837-5665,8.094097,-76.726432,8.278064,-76.382562,5948,5837,5665,TURBO,SAN PEDRO DE URABÁ,LineString,-76.7264318309999,8.09409673761,-76.3825621281999,8.27806430725999
Feature,73067-11001,3.591165,-75.382454,4.650528,-74.105972,5914,73067,11001,ATACO,"BOGOTÁ, D.C.",LineString,-75.3824540224999,3.59116486731,-74.105971599,4.65052840264
Feature,68081-68001,7.067976,-73.846686,7.115901,-73.132537,5892,68081,68001,BARRANCABERMEJA,BUCARAMANGA,LineString,-73.8466857443,7.06797552653,-73.1325367610999,7.1159014435
Feature,18785-18001,0.872398,-75.620131,1.617334,-75.60689,5891,18785,18001,SOLITA,FLORENCIA,LineString,-75.6201310918,0.872398243529,-75.6068902091,1.61733394988
Feature,23580-23466,7.889279,-75.672022,7.977922,-75.418484,5851,23580,23466,PUERTO LIBERTADOR,MONTELÍBANO,LineString,-75.672022287,7.88927921392,-75.4184835961,7.97792222738
Feature,5873-27001,6.588794,-76.896348,5.692349,-76.651125,5840,5873,27001,VIGÍA DEL FUERTE,SAN FRANCISCO DE QUIBDO,LineString,-76.8963475885999,6.58879411254,-76.6511246326,5.69234946496
Feature,5055-5001,5.731561,-75.142716,6.248941,-75.577056,5795,5055,5001,ARGELIA,MEDELLÍN,LineString,-75.1427155905,5.7315608939,-75.5770556256999,6.24894080931
Feature,47745-8001,10.780738,-74.723105,10.979459,-74.816835,5759,47745,8001,SITIONUEVO,BARRANQUILLA,LineString,-74.7231050771,10.7807379069,-74.8168347868,10.9794593386
Feature,86865-52001,0.423385,-76.904734,1.212839,-77.278125,5758,86865,52001,LA HORMIGA,SAN JUAN DE PASTO,LineString,-76.9047337531,0.423385052504,-77.2781249941999,1.21283942448
Feature,73555-11001,3.197021,-75.643784,4.650528,-74.105972,5715,73555,11001,PLANADAS,"BOGOTÁ, D.C.",LineString,-75.6437838795,3.19702137708,-74.105971599,4.65052840264
Feature,73504-11001,3.935056,-75.220794,4.650528,-74.105972,5706,73504,11001,ORTEGA,"BOGOTÁ, D.C.",LineString,-75.2207941366,3.93505594091,-74.105971599,4.65052840264
Feature,99773-50001,4.444488,-69.798543,4.122958,-73.626878,5677,99773,50001,CUMARIBO,VILLAVICENCIO,LineString,-69.7985426683,4.44448762205,-73.626877897,4.12295758045
