Origin_ID;Origin_NAME;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_LAT;Destin_LNG;Count;;;;;
13212;CÓRDOBA;9.586623;-74.827507;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;3280;;;;;
5250;EL BAGRE;7.592955;-74.80471;5001;MEDELLÍN;6.248941;-75.577056;3260;;;;;
20621;ROBLES;10.386468;-73.172691;20001;VALLEDUPAR;10.461893;-73.258517;3251;;;;;
5854;VALDIVIA;7.163138;-75.439712;5001;MEDELLÍN;6.248941;-75.577056;3251;;;;;
52250;EL CHARCO;2.476974;-78.110298;76109;BUENAVENTURA;3.875474;-77.011536;3240;;;;;
13657;SAN JUAN NEPOMUCENO;9.951381;-75.083666;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;3228;;;;;
68615;RIONEGRO;7.263214;-73.149044;68001;BUCARAMANGA;7.115901;-73.132537;3227;;;;;
5895;ZARAGOZA;7.48815;-74.867962;5001;MEDELLÍN;6.248941;-75.577056;3221;;;;;
13744;SIMITÍ;7.95522;-73.946366;13670;SAN PABLO;7.477475;-73.924558;3142;;;;;
18592;PUERTO RICO;1.910181;-75.157857;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3125;;;;;
50577;PUERTO LLERAS;3.269408;-73.373179;50001;VILLAVICENCIO;4.122958;-73.626878;3124;;;;;
20238;EL COPEY;10.149132;-73.96137;47001;SANTA MARTA;11.225703;-74.188397;3101;;;;;
5642;SALGAR;5.961162;-75.975436;5001;MEDELLÍN;6.248941;-75.577056;3077;;;;;
20750;SAN DIEGO;10.333693;-73.180729;20001;VALLEDUPAR;10.461893;-73.258517;3074;;;;;
47660;SAN ÁNGEL;10.032519;-74.213961;47001;SANTA MARTA;11.225703;-74.188397;3068;;;;;
20400;LA JAGUA DE IBIRICO;9.562867;-73.335552;20001;VALLEDUPAR;10.461893;-73.258517;3067;;;;;
27615;RIOSUCIO;7.433383;-77.11111;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;3050;;;;;
52490;BOCAS DE SATINGA;2.347547;-78.328775;76109;BUENAVENTURA;3.875474;-77.011536;3029;;;;;
19130;CAJIBÍO;2.623031;-76.570386;76001;SANTIAGO DE CALI;3.417587;-76.522332;3017;;;;;
47555;PLATO;9.793403;-74.783645;47001;SANTA MARTA;11.225703;-74.188397;3008;;;;;
50568;PUERTO GAITÁN;4.312027;-72.082955;50001;VILLAVICENCIO;4.122958;-73.626878;2971;;;;;
52079;BARBACOAS;1.673572;-78.138261;52835;TUMACO;1.761334;-78.781544;2971;;;;;
13654;SAN JACINTO;9.830658;-75.121745;8001;BARRANQUILLA;10.979459;-74.816835;2962;;;;;
18410;LA MONTAÑITA;1.48833;-75.436147;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2962;;;;;
50330;MESETAS;3.382246;-74.044366;50001;VILLAVICENCIO;4.122958;-73.626878;2957;;;;;
50450;PUERTO CONCORDIA;2.623792;-72.7571;50001;VILLAVICENCIO;4.122958;-73.626878;2955;;;;;
5001;MEDELLÍN;6.248941;-75.577056;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2943;;;;;
27150;CURBARADÓ;7.157413;-76.971877;5172;CHIGORODÓ;7.666156;-76.681565;2939;;;;;
52678;SAMANIEGO;1.334546;-77.594757;52001;SAN JUAN DE PASTO;1.212839;-77.278125;2937;;;;;
27361;ISTMINA;5.153351;-76.686002;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;2922;;;;;
27413;LLORÓ;5.499962;-76.542525;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;2921;;;;;
27450;ANDAGOYA;5.096609;-76.69553;27361;ISTMINA;5.153351;-76.686002;2921;;;;;
25885;YACOPÍ;5.45954;-74.338427;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2918;;;;;
18001;FLORENCIA;1.617334;-75.60689;41001;NEIVA;2.935546;-75.277946;2918;;;;;
23855;VALENCIA;8.257266;-76.149909;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2898;;;;;
52233;CUMBITARA;1.647672;-77.578431;52001;SAN JUAN DE PASTO;1.212839;-77.278125;2896;;;;;
50251;EL CASTILLO;3.563879;-73.794251;50001;VILLAVICENCIO;4.122958;-73.626878;2892;;;;;
73675;SAN ANTONIO;3.914292;-75.479651;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2888;;;;;
27150;CURBARADÓ;7.157413;-76.971877;5837;TURBO;8.094097;-76.726432;2863;;;;;
5842;URAMITA;6.898877;-76.174689;5001;MEDELLÍN;6.248941;-75.577056;2863;;;;;
27073;BAGADÓ;5.411715;-76.41596;66001;PEREIRA;4.807002;-75.718267;2852;;;;;
41001;NEIVA;2.935546;-75.277946;11001;BOGOTÁ, D.C.;4.650528;-74.105972;2852;;;;;
5837;TURBO;8.094097;-76.726432;5490;NECOCLÍ;8.426025;-76.787621;2847;;;;;
